basin;Acrisol;Albeluvisol;Alisol;Andosol;Arenosol;Calcisol;Cambisol;Chernozem;Ferralsol;Fluvisol;Gleysol;Histosol;Kastanozem;Leptosol;Lixisol;Luvisol;Nitisol;Phaeozem;Planosol;Plinthosol;Podzol;Regosol;Solonchak;Solonetz;Stagnosol;Umbrisol;Vertisol
Tapajos2;35.13251115;;;0.020161391;0.987347208;;0.122871136;;26.94513721;0.050406025;0.001439993;;;;;;35.48477965;;;0.018658953;;;;;;0.087914635;
Tapaua;87.23425023;;;0.005406906;0.031074289;;0.008113395;;0.140694284;0.434194953;8.3414327;;;;;;;;0.006761791;3.797949719;;;;;;;
Tefe;85.10875909;;;;0.001045099;;;;0.175913321;0.242419896;11.37337088;;;;;;;;;2.134251808;;;;;;;
Teles_Pires;34.25536006;;;0.862189745;1.550387286;;2.229473112;;40.80975126;;0.002344532;;0.001191677;0.163347937;;0.002971826;18.13225917;;0.004685033;0.026810477;;0.002981422;;;;1.941467254;
Tigre;68.02784757;;8.423720937;;;;0.015921692;;4.456460909;;19.06181023;;;;;;;;;0.007961771;0.005968846;;;;;;
Trombetas1;40.60535537;;0.135018956;17.35051859;0.078809511;;0.000669462;;36.04152018;0.087663598;0.136435756;0.000669399;0.139260409;0.000669432;;;3.038855325;;;0.05012528;1.968118639;;;;;;
Uatuma1;33.22846315;;;11.94726663;0.127753147;;0.023008073;;45.54210819;0.203090772;0.932472374;;0.028119345;0.002554617;;;3.991319812;;;0.072724834;;;;;;;
Uaupes;43.44490819;;10.26958763;0.736714221;;;0.018673916;;13.39566331;;;;;;;;0.010670387;;;0.012004684;32.02153679;;;;;;
Ucayali1;48.98506246;;;;0.00921353;;0.282974797;0.001526982;8.889607947;0.056001945;38.64037244;0.001295125;0.193282198;0.153496309;;0.101617061;0.928924537;;;0.001529045;0.051092521;0.0843689;;;;1.537086947;
Ucayali2;14.89619988;;;;0.003736906;;15.72675678;0.01389931;20.06650218;0.116472182;21.31114431;0.425164593;1.976601138;4.314322993;;2.294136934;1.17784557;0.004636342;0.295178914;0.003106148;1.535128282;11.2765196;;;;4.530936158;
Unini;97.11922586;;;;;;;;;0.0852588;2.592740495;;;;;;0.01877234;;0.003128879;0.093864403;;;;;;;
Urubamba;37.60756629;;;0.019154516;0.042131924;;1.383356024;0.012650907;3.094914805;0.011320148;4.481239486;0.687146075;8.919608929;3.060196713;;1.504324294;0.164850674;0.021019676;0.068826165;;0.157808428;38.41298322;;;;0.018305331;
Xingu1;41.58571399;;0.00206173;;0.475760156;;;;39.85156823;0.179239442;9.93553656;;0.01560264;;0.0020596;;4.27849251;;;0.136069604;;;;;;;
Xingu3;82.52233198;;;1.387821345;0.097014771;;0.003530346;;0.611181035;0.021299903;;;0.196533867;;0.014126686;0.399014013;14.47687174;;0.014119696;0.029668713;0.008836369;;;;;;
Xingu4;50.42785398;;;0.076138964;0.636233375;;0.091109585;;29.83204051;;2.952848577;0.003189668;0.286085851;0.018191991;0.001075949;0.076201133;15.37450644;;0.051933835;0.035321999;0.001074877;;;;;;
Xingu6;2.722112376;;;0.012783517;2.946925502;;2.47216228;;77.85151288;;13.42390539;0.007003379;;0.108816182;;;0.318144703;;;0.046180805;0.001258439;;;;;;
Yacuma;12.84471343;;;;;;2.809521854;;11.45369834;;67.11186174;0.003833209;3.196046368;0.543209631;;0.167277961;1.455669049;;;0.05431327;;0.019277599;;;;0.188907387;
