"GenusspeciesAmazonfishbase2";"Genusspecies.Amazon.fishbase";"Genusspecies.base.morpho";"EdHd";"MoBd";"JlHd";"EhBd";"BlBd";"HdBd";"PFiBd";"PFlBl";"CFdCPd";"Length";"spAmazFish"
"Creagrutus_gephyrus";"Creagrutus.gephyrus";"Creagrutus.gephyrus";0.5225254342;0.2967778205;0.2478359845;0.4677070435;3.8934432062;0.5064116249;0.1806498442;0.14769616;2.4706678624;6;"Creagrutus_gephyrus"
"Creagrutus_gracilis";"Creagrutus.gracilis";"Creagrutus.gracilis";0.4743539681;0.3463678053;0.4315608131;0.4686026212;3.7644284635;0.5671721514;0.1731480758;0.1796383457;2.7434187594;8;"Creagrutus_gracilis"
"Creagrutus_holmi";"Creagrutus.holmi";"Creagrutus.holmi";0.3933892097;0.5264637379;0.2487023347;0.6171449224;3.2871714263;0.5106072949;0.2494005071;0.1611640489;3.1076923077;9;"Creagrutus_holmi"
"Creagrutus_ignotus";"Creagrutus.ignotus";"Creagrutus.ignotus";0.4721340564;0.3438664722;0.4790318147;0.56840367;4.4595766681;0.6175274518;0.1543857212;0.1802547407;2.0267043669;5;"Creagrutus_ignotus"
"Creagrutus_kunturus";"Creagrutus.kunturus";"Creagrutus.kunturus";0.4073772313;0.4302250542;0.4658420364;0.5466241868;3.2208798684;0.4709569019;0.2268158114;0.1841151911;2.6306376959;10;"Creagrutus_kunturus"
"Creagrutus_manu";"Creagrutus.manu";"Creagrutus.manu";0.544879928;0.3610291494;0.1489653741;0.4934899447;3.0318791661;0.4910037208;0.1194973184;0.1769452163;2.4598436183;4;"Creagrutus_manu"
"Creagrutus_maxillaris";"Creagrutus.maxillaris";"Creagrutus.maxillaris";0.5680375901;0.3919473318;0.5895600983;0.5240436709;4.3691553516;0.5534490618;0.1815287814;0.1781276552;2.2625128042;7;"Creagrutus_maxillaris"
"Creagrutus_melanzonus";"Creagrutus.melanzonus";"Creagrutus.melanzonus";0.507368175;0.2627133114;0.2426697238;0.5079300521;4.2440253624;0.6074533089;0.1551957333;0.1664405696;2.16333;4;"NO_INFO"
"Creagrutus_menezesi";"Creagrutus.menezesi";"Creagrutus.menezesi";0.4518593932;0.3784744998;0.3643605119;0.5259635926;3.3426448022;0.5378907778;0.1952640289;0.2157259516;2.3184136147;8;"NO_INFO"
"Creagrutus_muelleri";"Creagrutus.muelleri";"Creagrutus.muelleri";0.4543601174;0.3780299903;0.4393280418;0.5171842385;3.2833146306;0.4277948008;0.2125891772;0.1815655913;2.2166208811;11;"Creagrutus_muelleri"
"Creagrutus_occidaneus";"Creagrutus.occidaneus";"Creagrutus.occidaneus";0.4570645705;0.4158718779;0.4075704225;0.5250470472;3.5333747264;0.5162777003;0.162220117;0.21977156;2.2764920236;7;"Creagrutus_occidaneus"
"Creagrutus_ortegai";"Creagrutus.ortegai";"Creagrutus.ortegai";0.5000182666;0.4021480228;0.377558849;0.562468072;3.3478381289;0.5054131405;0.1820587783;0.2012685223;2.2787709577;7;"Creagrutus_ortegai"
"Creagrutus_ouranonastes";"Creagrutus.ouranonastes";"Creagrutus.ouranonastes";0.475509598;0.5079004739;0.3117274484;0.6836492891;4.1666563981;0.4867464455;0.3436018957;0.1512413206;1.9304223608;10;"Creagrutus_ouranonastes"
"Creagrutus_pearsoni";"Creagrutus.pearsoni";"Creagrutus.pearsoni";0.4211086912;0.6142875821;0.2512837992;0.6594985941;3.3060906347;0.5732891956;0.2557503344;0.1644641205;2.723417947;3;"Creagrutus_pearsoni"
"Creagrutus_peruanus";"Creagrutus.peruanus";"Creagrutus.peruanus";0.4044569122;0.3838358614;0.3125849805;0.4733725904;3.3597580132;0.5628287645;0.1534650674;0.1668372986;2.5223555289;9;"Creagrutus_peruanus"
"Creagrutus_petilus";"Creagrutus.petilus";"Creagrutus.petilus";0.5057098531;0.4536353948;0.3449241214;0.5893980542;3.7595035924;0.5894255561;0.2153735089;0.2237541628;2.6722821324;5;"Creagrutus_petilus"
"Creagrutus_phasma";"Creagrutus.phasma";"Creagrutus.phasma";0.515356623;0.5257657349;0.4218427948;0.7013517089;4.6457697815;0.6682671357;0.2509649505;0.1838852596;2.2591838513;7;"Creagrutus_phasma"
"Creagrutus_pila";"Creagrutus.pila";"Creagrutus.pila";0.4849655276;0.3409893993;0.2634099566;0.5187096269;4.0365178997;0.6096255462;0.1802773296;0.1708543486;2.1944652778;7;"Creagrutus_pila"
"Creagrutus_runa";"Creagrutus.runa";"Creagrutus.runa";0.5279119774;0.3051165538;0.4225055154;0.5296885866;5.1954026273;0.6822516266;0.1695769388;0.1612535916;1.9853923294;6;"Creagrutus_runa"
"Creagrutus_tuyuka";"Creagrutus.tuyuka";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Creagrutus_tuyuka"
"Creagrutus_ungulus";"Creagrutus.ungulus";"Creagrutus.ungulus";0.4375263176;0.2973004895;0.4663419408;0.4744747306;3.5045013714;0.5765758081;0.1861901075;0.2125116322;2.2908259724;7;"Creagrutus_ungulus"
"Creagrutus_vexillapinnus";"Creagrutus.vexillapinnus";"Creagrutus.vexillapinnus";0.5417266107;0.3894439766;0.409894387;0.5125634431;3.0929911009;0.5102021076;0.2311548353;0.1838049843;2.22582312;5;"Creagrutus_vexillapinnus"
"Creagrutus_yanatili";"Creagrutus.yanatili";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Creagrutus_yanatili"
"Creagrutus_zephyrus";"Creagrutus.zephyrus";"Creagrutus.zephyrus";0.5562469526;0.4364131448;0.4450997237;0.5949345369;4.2412473423;0.6426050953;0.2475213548;0.1790655705;2.555269126;4;"Creagrutus_zephyrus"
"Crenicara_latruncularium";"Crenicara.latruncularium";"Crenicara.latruncularium";0.4701571605;0.4278202379;0.2298671199;0.624617213;3.0775072454;0.6885074992;0.4105118062;0.264155863;2.616521392;9;"Crenicara_latruncularium"
"Crenicara_punctulatum";"Crenicara.punctulatum";"Crenicara.punctulatum";0.5324312992;0.3243370617;0.3081054058;0.4899145407;3.1209626744;0.6494072305;0.320964769;0.219381078;2.3813023666;10;"Crenicara_punctulatum"
"Crenicichla_acutirostris";"Crenicichla.acutirostris";"Crenicichla.acutirostris";0.4854503697;0.6152198507;0.6369785226;0.6669130402;5.4036050984;0.5976770496;0.500007542;0.1885876328;1.8438914754;12.767;"Crenicichla_acutirostris"
"Crenicichla_adspersa";"Crenicichla.adspersa";"Crenicichla.adspersa";0.4337274788;0.4045277322;0.5620545416;0.4794793621;4.5971578917;0.6272426126;0.4743125586;0.1706099258;1.6048301189;29;"Crenicichla_adspersa"
"Crenicichla_alta";"Crenicichla.alta";"Crenicichla.alta";0.4217583383;0.5361168866;0.6586663911;0.5969717543;3.8684106307;0.547474576;0.509497744;0.1653433906;2.1517218433;16;"Crenicichla_alta"
"Crenicichla_anthurus";"Crenicichla.anthurus";"Crenicichla.anthurus";0.5144359617;0.3972110768;0.8342146055;0.4902453463;3.966329014;0.4540485431;0.5129711241;0.1642119996;2.0443351391;22;"Crenicichla_anthurus"
"Crenicichla_cametana";"Crenicichla.cametana";"Crenicichla.cametana";0.5270651833;0.4767354857;0.7434418515;0.4943466814;5.3579465152;0.5741582375;0.4188859637;0.1510824112;1.8029322414;18;"NO_INFO"
"Crenicichla_cincta";"Crenicichla.cincta";"Crenicichla.cincta";0.409;0.4516154094;0.714258427;0.5924124165;3.8726796792;0.5318958201;0.5131898211;0.1503348765;2.158612914;20;"Crenicichla_cincta"
