Genusspecies Amazon fishbase;Genusspecies base morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Anablepsoides.immaculatus;Anablepsoides.immaculatus;0,5296722139;0,4082593035;0,526404336;0,4682314168;4,5695775104;0,5996119814;0,3591460774;0,1665078071;2,080608375;10
Anablepsoides.intermittens;Anablepsoides.intermittens;0,4853218415;0,5981604958;0,4363990717;0,5393290259;4,9682928008;0,6276345589;0,3466360471;0,1461321954;1,8653793686;8
Anablepsoides.iridescens;Anablepsoides.iridescens;0,5613036555;0,6785916748;0,2540908629;0,5215723194;4,4514597506;0,5976068999;0,4352830418;0,1840207581;2,0917321857;8
Anablepsoides.jucundus;Anablepsoides.jucundus;0,4714752214;0,5018231687;0,5055502451;0,4625616502;4,5164424461;0,6463516984;0,3928473217;0,1710828931;1,6579408562;5
Anablepsoides.limoncochae;Anablepsoides.limoncochae;0,62268319;0,6175427448;0,2347615673;0,5371169847;4,9598744961;0,6220664456;0,3916277777;0,1799471822;2,3791028889;8
Anablepsoides.micropus;Anablepsoides.micropus;0,5519259562;0,5868555463;0,3277187968;0,4999733053;4,6243526543;0,5230019042;0,3949208948;0,130103484;1,9683766474;6
Anablepsoides.monticola;Anablepsoides.monticola;0,528689065;0,6475968884;0,2784879811;0,571875802;4,1043894878;0,5155757389;0,4307432404;0,1634930369;1,8575443912;3
Anablepsoides.ophiomimus;Anablepsoides.ophiomimus;0,5242488543;0,5102376786;0,3800595676;0,4896049184;4,8391711341;0,5794690888;0,4073960908;0,1331775871;2,0588153661;8
Anablepsoides.ornatus;Anablepsoides.ornatus;0,4982928568;0,6470120518;0,3062182342;0,5460874215;4,9026638241;0,5577937342;0,4652664692;0,1847448462;2,1446319817;4
Anablepsoides.parlettei;;;;;;;;;;;
Anablepsoides.peruanus;Anablepsoides.peruanus;0,4738934474;0,4536398003;0,256558419;0,4358139077;4,7676800582;0,6555352692;0,3301843196;0,1396979958;2,3216398291;6
Anablepsoides.rubrolineatus;Anablepsoides.rubrolineatus;0,5058806706;0,4880174533;0,3222393022;0,4051252519;4,952889322;0,6195707546;0,285045073;0,1435371929;1,889752095;6
Anablepsoides.speciosus;Anablepsoides.speciosus;0,5508385048;0,736875;0,2957133026;0,5698153846;5,120075;0,6371230769;0,4539115385;0,1961671235;1,916034537;4
Anablepsoides.taeniatus;Anablepsoides.taeniatus;0,4836196126;0,8556680068;0,4262407669;0,7572648605;4,9052518056;0,7045872221;0,561166393;0,1875588676;1,4328341999;6
Anablepsoides.urophthalmus;Anablepsoides.urophthalmus;0,5193486464;0,4877297611;0,2010297134;0,4876958075;4,8395172195;0,517107631;0,3643502975;0,1320456249;2,1550922482;7
Anablepsoides.waimacui;Anablepsoides.waimacui;0,4374426143;0,5873653807;0,3485487286;0,5183261312;5,034346103;0,5974408347;0,3618879162;0,1414282474;2,4475945956;8
Anablepsoides.xanthonotus;Anablepsoides.xanthonotus;0,5296039007;0,8105484026;0,5497742204;0,7272284831;5,338572627;0,5623801038;0,3945491146;0,1696159615;2,1846585489;8
Anablepsoides.xinguensis;;;;;;;;;;;
