"","id","BvNiv2","roqst_mn1","roqst_std1","roqst_cv1","roqst_mn2","roqst_std2","roqst_cv2","roqst_mn3","roqst_std3","roqst_cv3","roqst_mn4","roqst_std4","roqst_cv4","roqst_mn5","roqst_std5","roqst_cv5","roqst_mn6","roqst_std6","roqst_cv6","roqst_mn7","roqst_std7","roqst_cv7","roqst_mn8","roqst_std8","roqst_cv8","roqst_mn9","roqst_std9","roqst_cv9","roqst_mn10","roqst_std10","roqst_cv10","roqst_mn11","roqst_std11","roqst_cv11","roqst_mn12","roqst_std12","roqst_cv12"
"71",71,"Napo2",97.6529408623,40.6804064588,41.6581478238974,93.3999997307,37.6273522699,40.2862445164784,136.92353013,44.6252698389,32.5913813327273,185.411763808,43.7398969347,23.5906805676009,232.588234397,39.5542361188,17.0061208045828,242.041178086,41.3729679069,17.0933591689096,194.882353839,24.0917656762,12.3622099187611,145.711765065,12.8839100989,8.8420520423678,115.347059362,16.8852905057,14.6386831177967,120.176470139,22.9513169009,19.0980121768877,112.841176201,25.9389557267,22.9871369654069,94.9294119442,35.5896350348,37.4906304652132
"74",74,"Negro1",61.040740331,25.9737506524,42.5515000498921,77.5999999576,37.3313393474,48.1073960925226,112.714814221,47.8778590861,42.4769888652133,135.492592988,44.4602862817,32.8138131400568,158.970371388,26.586098337,16.7239329598791,121.633334407,19.8365356133,16.3084698039474,84.8666664406,23.8138141383,28.0602681088785,47.248148247,14.4999711779,30.6889724060681,30.3518519225,5.60339639084,18.4614645760253,29.4148149137,7.44678425117,25.3164409601695,34.8296296861,10.2789184367,29.5119946130296,39.2851851428,18.902942825,48.1172298317765
"75",75,"Negro2",79.1636359475,21.2046427643,26.7858373488082,76.1090909784,22.1044807088,29.0431542732173,116.736363498,25.2582043806,21.6369635165419,151.672726718,27.3075766943,18.0042762368689,194.672726718,16.0413165164,8.240145801028,166.663635254,16.4488324099,9.86947895672114,118.199999029,18.223909586,15.4178593364699,72.118183136,13.4241862778,18.6141492950325,55.6545455239,9.19430262522,16.5203085186845,55.7272727273,8.76450318583,15.7274934819058,60.6181817488,8.6985701315,14.3497707792468,60.9272731434,12.8362480732,21.0681479917676
"77",77,"Negro3",125.174418782,40.5761477375,32.4156869529118,114.174418072,37.4674057752,32.8159375873258,140.423255566,39.1626893161,27.8890338770797,177.813953488,32.2073189752,18.1129311527138,218.81162883,18.3133334115,8.36945161892107,206.290698384,21.6269502519,10.4837253551988,164.127906622,26.8745095858,16.3741256066186,120.839534493,25.8586497882,21.3991636898419,94.2534880527,20.4839385989,21.7328175562551,86.7697670515,23.2693887451,26.8173922044634,87.353488656,24.0250769717,27.5032827438768,98.9837210012,34.863522148,35.2214705563325
"78",78,"Negro5",97.7500003468,27.6666238704,28.3034514294053,86.1386360689,24.5915100965,28.5487572345932,102.609090805,31.9285127743,31.1166510918389,156.247727307,31.906221923,20.4202790484816,246.224998821,26.1076262435,10.6031582367799,296.338638306,23.0435572818,7.77608934613689,280.059092088,34.0311983758,12.1514349425609,219.42727245,27.6281984416,12.5910503890967,167.418181679,22.0176204964,13.1512720276795,130.609090805,18.6624789249,14.2888054804418,112.425000451,13.6961535308,12.1824802987387,99.238636537,18.2322670876,18.3721458938045
"9",9,"Nhamunda",45.4625000954,5.5809804894,12.276008749384,88.4375,14.5892028756,16.496625159689,132.212499619,25.8743327859,19.5702621616433,155.850002289,23.5133475314,15.0871653423515,168.975000381,11.0869007357,6.56126688013113,116.237499237,4.22520428903,3.63497521605752,71.9125003815,5.8703576686,8.1631950460037,32.5499999523,2.74454056162,8.43176825082013,19.2375001907,0.905452295636,4.70670454404322,15.2250000238,1.39798979982,9.18219899924228,14.9999996424,2.24109313841,14.9406212789177,25.3499999046,7.48515192575,29.5272266426784
"31",31,"Orthon",94.4750010173,25.1680400634,26.6398939321433,131.316668193,23.6286859024,17.9936684562178,143.266667048,22.5934126491,15.7701809601883,103.700000127,12.4961998638,12.0503373659557,55.7333332698,10.7597506725,19.3057727597469,26.5166664124,10.4538537169,39.4237101840654,17.4166668256,7.06291207993,40.5526048735602,16.4249999523,5.91017821233,35.9828202708908,17.6916666826,4.68960895543,26.507445791087,29.5416666667,10.1629603118,34.4021223530218,43.0583338737,12.740254836,29.5883599987173,67.0916662216,19.3873862792,28.8968621157277
"24",24,"Pachitea",154.944445292,19.803375189,12.780952006172,184.077775743,17.0255873791,9.24912706619742,172.800003052,11.6531337207,6.74371152481593,118.888889737,4.28004450293,3.60003740668964,75.6444439358,5.09337704569,6.73331282600582,49.8333329095,6.60286099967,13.2498884063427,48.1222216288,8.79327705225,18.2727994565144,35.5333332486,4.47238442726,12.5864477615148,37.611111535,2.48392428906,6.60422994079428,85.6222220527,9.87677270472,11.5352912689429,87.0222210354,8.8907916243,10.2166912295692,152.744443258,26.07191213,17.0689758487397
"3",3,"Paru_Este",45.9249998728,4.69736173793,10.22833260956,68.9250011444,9.51473716766,13.8044787953305,119.058333079,25.9276712484,21.7772839396264,174.96666654,30.0372080357,17.1673888688009,251.999997457,14.9208450199,5.92097030574217,170.933333079,10.155078731,5.94095870482245,110.066666921,13.4257416684,12.1978270478893,52.2166671753,9.34271909971,17.8922164226701,23.8249998093,3.47086113502,14.568147587834,14.6583333015,1.60284036989,10.9346699718308,14.8916666508,1.50801097831,10.126542674315,23.0833331744,2.77633827233,12.0274583022916
"27",27,"Pastaza",101.646666463,42.1438139134,41.4610880807789,106.306666565,45.7467873242,43.0328490229055,142.773333232,58.0786888941,40.678947237104,188.200000509,63.1814315414,33.5714300587255,192.206666565,60.5507782056,31.502954235525,178.126668294,81.6770834829,45.8533717972488,144.180000814,66.8087526335,46.337045537742,107.179999797,49.1519028769,45.8592115786473,100.426667277,41.5374277021,41.3609540457318,100.419999441,48.7310750379,48.5272608137496,99.8666664124,44.1643081792,44.2232726551853,96.8933336894,48.9225858327,50.4911782574492
