"","BvNiv2","MEAN","STD","cv","MEAN00","STD00","cv00","MEAN01","STD01","cv01","MEAN02","STD02","cv02","MEAN03","STD03","cv03","MEAN04","STD04","cv04","MEAN05","STD05","cv05","MEAN06","STD06","cv06"
"35","Yacuma",1835.6763559,858.535874744,46.7694575890027,1974.18750555,893.736273868,45.2710936198033,1672.42189768,980.65922887,58.6370717957221,1643.39752873,920.267391091,55.9978565747371,1712.00836302,881.441463565,51.4858152918207,1845.49978795,887.00603308,48.0631880248166,1898.91087468,804.10530896,42.3456055616884,2103.30855973,664.852459774,31.6098394930388
"36","Isiboro",3335.28142233,992.881077999,29.7690345213922,3468.32913459,967.215020918,27.8870598315444,3334.5798438,1066.20616974,31.9742282291546,3294.46045712,1068.50055656,32.4332487964988,3227.15752408,1078.73648993,33.4268309458345,3418.87691483,1186.09409837,34.6925065721173,3348.84504347,882.480921187,26.351799194405,3254.72113013,748.798487871,23.0065329081233
"37","Blanco_Baures",1276.77871724,190.318676734,14.9061598665593,1613.15189269,243.539056032,15.0970939026633,1135.60260398,227.629415395,20.0448127361822,1295.11809823,206.211000888,15.9221773805665,1063.88655972,234.096109216,22.0038600053008,1014.78821758,260.424389481,25.6629299561679,1149.68733104,249.786874665,21.7265049306096,1665.21631695,277.085645084,16.6396186647695
"38","Guapore",1393.05755422,297.174654371,21.3325467760299,1708.29908669,298.429299409,17.4693823660139,1375.15228446,368.772573968,26.8168535321752,1610.94135548,349.035822565,21.6665753460032,1300.75293119,517.433889118,39.7795674113625,1123.2247671,440.25163952,39.1953287013662,1049.77530152,259.006205465,24.6725375506527,1583.25715976,208.598014214,13.1752452801553
"39","Urubamba",3019.25631557,1184.63645528,39.2360346874477,2861.29500699,1199.86570164,41.9343583485376,3163.03465232,1276.34673508,40.3519681374288,2920.43392479,1135.50265903,38.88129943264,3093.62790756,1205.21573658,38.9580057005167,3084.02813134,1236.59692014,40.0968106475314,2817.28038142,1115.46806771,39.5937896372163,3195.09419094,1218.85132752,38.1475867276831
"40","Mantaro",1392.34034563,703.39935559,50.5192108953597,1330.92495743,727.842652919,54.6869790708903,1332.58861051,713.186649909,53.5188912980469,1362.38019871,657.007708957,48.2249895865414,1489.14742491,720.51377662,48.3843147137394,1443.19288152,745.336878314,51.6449940862372,1428.64214975,680.316403287,47.6197908206789,1359.50622204,695.029272298,51.1236551205391
"41","Xingu1",2491.37116597,224.640023696,9.01672246851014,2558.69122921,266.434142227,10.4129071607152,2195.25130828,223.598322263,10.1855455646302,2603.67064487,256.405668373,9.84785340950073,2334.80784812,213.97227774,9.16444913924251,2238.56434076,215.421229978,9.62318688168077,2824.70024705,268.1395799,9.49267378653837,2683.91250469,258.148353312,9.61835949796795
"42","Xingu3",2690.30558239,136.802876116,5.08503112105457,2642.81607893,295.26631564,11.172412563781,2817.10779975,197.150755175,6.99833904802989,2796.36326742,157.567867036,5.63474241246833,2818.77552371,204.892737692,7.26885613872244,2770.88217125,233.074177372,8.41155137487696,2398.06243216,265.938698908,11.0897320829325,2588.13179726,184.605174204,7.13275786030053
"43","Xingu4",2136.91545332,379.697321376,17.7684765574645,1678.82448289,339.181896512,20.2035352693998,2597.66499712,447.635423538,17.2322229399976,2226.90521058,508.233281932,22.8224030155118,2643.00339005,422.553439976,15.9876238360786,2217.66519944,585.84586019,26.4172364853783,1594.5355835,205.18001606,12.8676975404732,1999.80929306,242.680219669,12.1351681138387
"44","Xingu6",1173.29721174,287.7973438,24.528937844589,1427.41759917,208.353845313,14.5965585287831,1118.9150146,450.242017177,40.2391612680215,854.502877113,330.226917029,38.6455008957601,1364.05121509,453.824935962,33.2703736444424,1136.56681433,199.32243236,17.5372384488896,879.640139726,278.296176367,31.6375030877612,1431.98682306,256.478750753,17.9106920973569
"45","Amazon1",2678.68556143,261.020545906,9.7443518442178,2499.41023467,292.384254481,11.6981298398021,2542.65883854,244.553594054,9.6180262309364,2695.85720522,260.87571387,9.67691142412385,2467.08222446,255.328710762,10.3494203894192,2471.19097698,258.656679708,10.466883462973,3163.92481115,308.841332191,9.76133601856185,2910.6746713,291.687821855,10.0213130904363
"46","Amazon2",2568.18257026,210.811519592,8.2085877395647,2759.20691026,201.692858629,7.30981275376679,2476.78743951,190.012562611,7.67173474719298,2370.14367025,278.295768504,11.741725701997,2654.69035889,227.72225485,8.57810983821168,2489.87397081,222.658109567,8.94254537287144,2619.37681641,317.209189149,12.1101014241911,2607.19885552,258.722240851,9.92337965718378
"47","Amazon5",2255.97901408,180.668227562,8.00841791676318,2466.20029413,212.134257522,8.60166378322627,2290.78209287,216.961394316,9.47106208797802,1781.15759277,136.717493601,7.67576626324127,2400.17001488,181.212159245,7.54997179872943,2451.43843878,202.45174444,8.25848780199243,2106.91247704,169.66817886,8.05292961662872,2295.19211251,262.075362298,11.4184499358268
"48","Tapajos1",2422.91613628,162.389773133,6.70224489826229,2463.78959819,361.309593665,14.6647909354935,2434.85125874,262.490045746,10.7805372013498,1985.58277673,225.079373645,11.3356832202018,2679.17414551,146.047409815,5.45121003275429,2646.91825434,143.448362924,5.41944817104933,2268.13963651,109.703756756,4.83672852368128,2481.95727709,143.611426407,5.7862166981125
"49","Tapajos2",2460.86840133,180.622822987,7.33980016523357,2449.69033203,443.092482958,18.0876936633382,2349.14984031,396.296274628,16.8697742403568,1974.2552436,354.909013864,17.9768555770344,2963.06737214,113.980634753,3.84671087214195,2925.7494184,127.043824922,4.3422660916558,2269.27980433,157.4940929,6.94026768314275,2294.88677499,198.702449146,8.6584859571935
"50","Teles_Pires",1646.16369814,513.319085186,31.1827484572767,1773.94441599,403.068410893,22.7215919089582,1769.70663401,736.850512433,41.6368734948663,1465.60748211,663.454014404,45.2681923709096,2206.03094117,692.29540338,31.3819443988773,1589.2600967,565.195493673,35.5634357677886,1262.29937235,466.223993877,36.9345025506144,1456.2969264,269.455119618,18.5027596181295
"51","Andira1",2519.65939051,157.759842146,6.26115746994153,2604.60425959,230.783515198,8.86059808695577,2392.84317198,142.258182984,5.94515280607738,1946.26554153,128.630071599,6.60907100569027,2729.19722076,149.891257731,5.4921372699207,2825.6083252,140.715764469,4.98001662912852,2469.73431166,234.2308043,9.48404867657869,2669.36290712,184.01293143,6.89351496340875
"52","Canuma",2830.07445638,106.449118277,3.76135398264967,3277.86047278,213.144471732,6.50254864421453,3017.30558731,349.092072003,11.5696624654523,2387.88999213,433.240033214,18.1432157528978,2906.87486858,109.954514579,3.78256786239693,2966.00457296,95.3094291751,3.21339454578061,2665.18862299,241.707075567,9.06904199882992,2589.3970715,286.427782078,11.0615627564635
"53","Madera1",2682.14761069,145.607006853,5.4287469590662,3030.93679023,236.749268666,7.81109224808461,2757.51853455,315.242196512,11.4320971033272,2030.43964441,179.290508159,8.83013236333345,2610.92829565,137.581230066,5.269437322167,2804.67890977,132.405824654,4.72089065856234,2739.17046049,123.137740045,4.49543910542071,2801.36061584,135.188751342,4.8258246574036
"54","Madera2",2905.17389741,106.457670543,3.66441646188231,3376.78588669,191.618254863,5.67457521124706,3254.1365076,161.905526491,4.97537599030869,2671.92090141,135.271374036,5.06270129346329,2671.73344793,168.913154637,6.32223078869901,2968.43303487,114.860856839,3.86941040911944,2728.26427893,191.608008584,7.02307360997839,2664.94323533,171.724951599,6.44385026001259
"55","Madera3",2771.68783179,181.352751223,6.54304388621858,2910.03633393,321.256348739,11.0395992308846,3059.54225891,250.561528735,8.18951031009017,2448.52388276,138.509743296,5.65686715458419,2666.78482177,147.996910028,5.54963823177047,3027.26538624,165.432259967,5.46474256003285,2627.11333503,268.694982401,10.2277651602698,2662.54877327,213.405902819,8.01509835092735
"56","Madera4",1951.36465942,204.155984138,10.4622159242487,1906.18977636,148.597084422,7.79550316893191,2059.12499097,292.618129846,14.2107997877368,1627.03577888,255.06495063,15.6766651318251,2501.53141035,183.506591625,7.33577003533707,2133.47826318,299.989277685,14.0610421424148,1528.88378581,186.734032406,12.2137492816087,1903.30857425,174.09754034,9.1471000916708
