"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Putumayo",-0.591030917569095,690,-2.54414619735976,-0.862843867351242,0.603861476939448,0,0.0636738006544622,0.634211133763949
"Roosevelt",-0.119679824576882,151,-2.53137021540371,-0.104418793732832,0.43561611238502,0,0.0833983204816687,0.592677110417946
"Santiago",-3.25243463780578,205,-3.85318219225181,-2.81944952433014,0.385550701913539,0,0.0647148844198253,0.487110811176501
"Solimoes1",-0.0424358590619831,596,1.77780614893492,-0.969535300623703,0.594379672535691,0,0.0460795568497274,0.629119727005918
"Solimoes2",-0.61968512082707,301,0.393632231167826,-1.74915453260575,0.506888149145028,0,0.0426247074585,0.584827671909446
"Solimoes3",1.05430927839812,343,0.324393320232727,-0.343450279727327,0.479639067995228,0,0.0389031044414168,0.58927071907426
"Solimoes4",-0.328850871820545,414,1.59016676385128,-1.21939098637152,0.515443911830206,0,0.040149175166462,0.593225631509011
"Solimoes7",-0.210438177005296,327,-2.37587351801892,0.246477724342664,0.492719442342217,0,0.0550613263837312,0.520997510860439
"Solimoes8",-1.21753968186831,698,-3.62759475161955,-1.19342567087509,0.560472233677491,0,0.0593393009481032,0.571287533787517
"Solimoes9",-0.303682701859434,657,-2.40960337607605,-0.34132888851447,0.548545384692415,0,0.0586160450116697,0.585216097660881
"Tapajos1",0.0658178043905133,670,0.161409389030635,-1.11754020072733,0.510886777968941,0,0.0500730721914215,0.582506582700421
"Tapajos2",0.162637461715699,363,-2.74533621298519,0.416907329073881,0.503921341742654,0,0.0505297551150708,0.53606139855426
"Tapaua",0.351741856539506,108,-1.70096789834973,0.243541468327859,0.362871900827591,0,0.0826965790611225,0.476752215756772
"Tefe",0.0658886183429899,524,-0.604422048360934,-0.345496511124741,0.537424853495061,0,0.0485407586806476,0.579622896255398
"Teles_Pires",-1.81133227478227,441,-4.13093935664385,-1.7295441113147,0.48085545433649,0,0.0717897661477549,0.566305833707778
"Tigre",-2.00346425831676,276,-4.59973282152269,-1.31548543829339,0.428595903871537,0,0.108138552968943,0.512618587250444
"Trombetas1",-0.199813843253173,482,2.62162290081952,-1.23250489399629,0.512118227499859,0,0.0406691782462279,0.571754840934064
"Uatuma1",0.566693894289053,375,0.234217229149171,-0.904797284502805,0.489803243655306,0,0.0419664779432163,0.625577941901158
"Uaupes",-1.86974536632123,310,-2.49863450651014,-2.06725487268111,0.461171835917163,0,0.0514150133155159,0.578510020365626
"Ucayali1",-1.12574594690226,587,-3.68273061946396,-1.14476892808583,0.543162948651143,0,0.059987582638696,0.628350236264597
"Ucayali2",-4.26013322207637,133,-3.73609311808524,-2.53949812183017,0.366168537398677,0,0.144838002443291,0.424549133366867
