"basin";"variable";"value"
"Purus2";"Acestrorhynchus_falcatus";1
"Purus3";"Acestrorhynchus_falcatus";1
"Putumayo";"Acestrorhynchus_falcatus";1
"Roosevelt";"Acestrorhynchus_falcatus";1
"Santiago";"Acestrorhynchus_falcatus";1
"Solimoes1";"Acestrorhynchus_falcatus";1
"Solimoes2";"Acestrorhynchus_falcatus";1
"Solimoes3";"Acestrorhynchus_falcatus";1
"Solimoes4";"Acestrorhynchus_falcatus";1
"Solimoes7";"Acestrorhynchus_falcatus";1
"Solimoes8";"Acestrorhynchus_falcatus";1
"Solimoes9";"Acestrorhynchus_falcatus";1
"Tapajos1";"Acestrorhynchus_falcatus";1
"Tapajos2";"Acestrorhynchus_falcatus";1
"Tefe";"Acestrorhynchus_falcatus";1
"Teles_Pires";"Acestrorhynchus_falcatus";1
"Tigre";"Acestrorhynchus_falcatus";1
"Trombetas1";"Acestrorhynchus_falcatus";1
"Uatuma1";"Acestrorhynchus_falcatus";1
"Uaupes";"Acestrorhynchus_falcatus";1
"Ucayali1";"Acestrorhynchus_falcatus";1
"Xingu1";"Acestrorhynchus_falcatus";1
"Xingu3";"Acestrorhynchus_falcatus";1
"Xingu4";"Acestrorhynchus_falcatus";1
"Xingu6";"Acestrorhynchus_falcatus";1
"Abuna";"Acestrorhynchus_falcirostris";1
"Amazon1";"Acestrorhynchus_falcirostris";1
"Amazon2";"Acestrorhynchus_falcirostris";1
"Amazon5";"Acestrorhynchus_falcirostris";1
"Amazon8";"Acestrorhynchus_falcirostris";1
"Amazon9";"Acestrorhynchus_falcirostris";1
"Andira1";"Acestrorhynchus_falcirostris";1
"Aripuana";"Acestrorhynchus_falcirostris";1
"Bacaja";"Acestrorhynchus_falcirostris";1
"Beni";"Acestrorhynchus_falcirostris";1
"Blanco_Baures";"Acestrorhynchus_falcirostris";1
"Branco";"Acestrorhynchus_falcirostris";1
"Candeias";"Acestrorhynchus_falcirostris";1
"Caqueta1";"Acestrorhynchus_falcirostris";1
"Coari";"Acestrorhynchus_falcirostris";1
"Curaray";"Acestrorhynchus_falcirostris";1
"Curua_Una";"Acestrorhynchus_falcirostris";1
"Demini";"Acestrorhynchus_falcirostris";1
"Guapore";"Acestrorhynchus_falcirostris";1
"Huallaga";"Acestrorhynchus_falcirostris";1
"Iriri";"Acestrorhynchus_falcirostris";1
"Itonamas";"Acestrorhynchus_falcirostris";1
"Jamanxim";"Acestrorhynchus_falcirostris";1
"Japura1";"Acestrorhynchus_falcirostris";1
"Jatapu";"Acestrorhynchus_falcirostris";1
"Javary1";"Acestrorhynchus_falcirostris";1
"Jiparana";"Acestrorhynchus_falcirostris";1
"Jurua1";"Acestrorhynchus_falcirostris";1
"Jutai";"Acestrorhynchus_falcirostris";1
"Luna";"Acestrorhynchus_falcirostris";1
"Madera1";"Acestrorhynchus_falcirostris";1
"Madera2";"Acestrorhynchus_falcirostris";1
"Madera3";"Acestrorhynchus_falcirostris";1
"Madera4";"Acestrorhynchus_falcirostris";1
"Madera6";"Acestrorhynchus_falcirostris";1
"Mamore1";"Acestrorhynchus_falcirostris";1
"Mamore2";"Acestrorhynchus_falcirostris";1
"Maranon1";"Acestrorhynchus_falcirostris";1
"Maranon3";"Acestrorhynchus_falcirostris";1
"Marmelos";"Acestrorhynchus_falcirostris";1
"Maues";"Acestrorhynchus_falcirostris";1
"Napo1";"Acestrorhynchus_falcirostris";1
"Napo2";"Acestrorhynchus_falcirostris";1
"Negro1";"Acestrorhynchus_falcirostris";1
"Negro2";"Acestrorhynchus_falcirostris";1
"Negro3";"Acestrorhynchus_falcirostris";1
"Negro5";"Acestrorhynchus_falcirostris";1
"Nhamunda";"Acestrorhynchus_falcirostris";1
"Purus1";"Acestrorhynchus_falcirostris";1
"Purus2";"Acestrorhynchus_falcirostris";1
"Purus3";"Acestrorhynchus_falcirostris";1
"Putumayo";"Acestrorhynchus_falcirostris";1
"Roosevelt";"Acestrorhynchus_falcirostris";1
"Solimoes1";"Acestrorhynchus_falcirostris";1
"Solimoes2";"Acestrorhynchus_falcirostris";1
"Solimoes3";"Acestrorhynchus_falcirostris";1
"Solimoes4";"Acestrorhynchus_falcirostris";1
"Solimoes7";"Acestrorhynchus_falcirostris";1
"Solimoes8";"Acestrorhynchus_falcirostris";1
"Solimoes9";"Acestrorhynchus_falcirostris";1
"Tapajos1";"Acestrorhynchus_falcirostris";1
"Tapajos2";"Acestrorhynchus_falcirostris";1
"Tefe";"Acestrorhynchus_falcirostris";1
"Teles_Pires";"Acestrorhynchus_falcirostris";1
"Trombetas1";"Acestrorhynchus_falcirostris";1
"Uatuma1";"Acestrorhynchus_falcirostris";1
"Uaupes";"Acestrorhynchus_falcirostris";1
"Ucayali1";"Acestrorhynchus_falcirostris";1
"Unini";"Acestrorhynchus_falcirostris";1
"Xingu1";"Acestrorhynchus_falcirostris";1
"Xingu6";"Acestrorhynchus_falcirostris";1
"Amazon5";"Acestrorhynchus_grandoculis";1
"Amazon8";"Acestrorhynchus_grandoculis";1
"Branco";"Acestrorhynchus_grandoculis";1
"Madera2";"Acestrorhynchus_grandoculis";1
"Negro1";"Acestrorhynchus_grandoculis";1
"Negro2";"Acestrorhynchus_grandoculis";1
"Negro3";"Acestrorhynchus_grandoculis";1
"Negro5";"Acestrorhynchus_grandoculis";1
"Putumayo";"Acestrorhynchus_grandoculis";1
"Teles_Pires";"Acestrorhynchus_grandoculis";1
"Uatuma1";"Acestrorhynchus_grandoculis";1
"Unini";"Acestrorhynchus_grandoculis";1
