"","tempMin.s","tempMax.s","tempMean.s","tempCV.s","precMin.s","precMax.s","precAnn.s","precCV.s","aetMin.s","aetMax.s","aetAnn.s","aetCV.s","petMin.s","petMax.s","petAnn.s","petCV.s","ro_mean.s","npp_mn.s","npp_sd.s","npp_cv.s","SolRad_mn.s","SolRad_cv.s","basin"
"Curaray",0.175793417619418,-0.150755977297687,0.0502975177627793,-0.148166735077041,1.05671472449645,0.167831225202068,0.815267062601506,-0.834629252264439,0.61576243824633,0.297746909535073,0.652033687051741,-0.498414945942671,-0.135134019422554,-0.345859596747572,-0.121897773142658,-0.235397489091565,-0.153977585913393,0.334936024137654,0.464642977723327,0.289505838648932,0.377765935268876,-0.424764676877709,"Curaray"
"Curua",0.302619512173757,0.139394328925441,0.136685711449026,0.0455515898947805,-0.027276523929181,0.0938384347409865,-0.17996185129402,0.0963285484159194,-0.145593657354275,-0.245198239180073,-0.138076774105773,-0.0569740868137448,0.093659190542264,0.124640101016378,-0.158052720260602,0.0296044651917063,0.0147248887020974,-0.0417219243371652,-0.344015627685944,-0.346906700378547,0.380139400252298,-0.436531529370354,"Curua"
"Curua_Una",0.175733891684514,-0.0138334157242897,0.0814290760934702,-0.132423927166533,-0.279954337012348,0.149013632045078,-0.372535526589394,0.472516577607152,-0.494510433313759,-0.21559664179834,-0.469344995431343,0.331288167567921,0.151047820545667,-0.103201820917578,-0.159107337602952,-0.162165101136936,-0.127824682846217,0.10231349882896,-0.360313582116866,-0.372935419531382,0.330770049285882,-0.351435881592793,"Curua_Una"
"Demini",0.322538377242109,0.0756860454353183,0.247563457131164,-0.343147396470855,0.0935938449967532,0.123315686762688,-0.0825884206236716,-0.116165432176002,0.0961757195021872,0.159745348714011,0.220451005459675,-0.162632328591795,0.443339625135422,-0.138026234806697,0.239278454453429,-0.621865421798263,0.53033313241582,0.39117229846266,0.0190505245094139,-0.0856812541689694,0.3585372749575,-0.359131193845053,"Demini"
"Fresco",-0.160488347566151,0.28376170534243,0.000656617882318836,-0.407064476609828,-0.563048545736525,-0.0726043862579276,-0.240774700391741,0.47335717474848,-0.58179735995062,0.345216203986637,-0.0975326135522034,0.710738648077622,0.896993413061779,0.670737332717227,0.832442774065713,-0.263350290589992,-0.280015517075582,0.0385854175124797,-0.132410408102814,-0.158369606074664,0.0254141931106544,-0.00760981733767952,"Fresco"
"Grande",-1.01492570129809,-0.570055608894159,-0.817750429519276,2.01340376966516,-0.466809864748159,-1.09952667197086,-1.18364453774806,0.791002392192327,-0.867536243321137,-1.58235190228052,-1.50482961546124,0.649444723987376,-1.48627945526459,0.17172948390048,-0.475091895123778,1.87960671142535,-0.812728280222758,-0.467430136876606,0.899085941784914,1.14813011271952,-1.71627338085676,1.00631999301829,"Grande"
"Guapore",-0.412801752504693,0.18316430122321,-0.117026163511299,0.547065272753483,-0.556711036462925,-0.400354389332386,-0.644266057972674,0.573897804725288,-0.669335034356634,0.340023755511281,-0.44252619233234,0.899963181920296,0.0403185125573308,0.805156951768734,0.609818418930827,0.659398961635491,-0.645402647151871,-1.00897864338956,-0.065554978574124,0.247045984583304,-0.833475373835376,1.11535916243662,"Guapore"
"Huallaga",-0.561478074187728,-0.6870318786375,-0.645749464070622,-0.117598842236791,-0.0461332586862566,-1.0923179268472,-0.687487514889566,-0.360495979979945,-0.0266378520046252,-0.869977307321534,-0.468750176971602,-0.325434003421318,-0.140019904244637,-0.331359821928248,-0.190048827123114,-0.145397569121242,-0.76161224641648,0.745558193232352,1.32231339286163,0.790744609347835,0.0551735309775713,0.391746930021383,"Huallaga"
"Iriri",-0.0994991638070544,0.36047218612853,0.0545458871239563,-0.195068965193414,-0.536129730529943,0.348738819788578,-0.0601254360115486,0.509543274263686,-0.426533583080242,0.141941235450487,-0.10904131875799,0.460295527141106,0.720348221106653,0.599590794067943,0.68179659645738,-0.0775285465183125,-0.160971419316547,0.0445413684862806,-0.294426154736564,-0.308294943682664,0.0874514175391462,0.448599840817468,"Iriri"
"Isiboro",-0.633576894907187,-0.122373909594718,-0.314516792825797,1.67401043190615,0.0491729642295838,1.19217672419916,0.512462887657444,0.272361649475687,0.0750494662974746,0.419454750094977,0.22224632401623,0.0373688832825626,-0.939570859733399,0.457292416051389,-0.0584512916468795,1.41515267464112,-0.556504564127857,0.8833436999083,1.06568016090717,0.55916035682284,-1.36955602002328,0.268790310762458,"Isiboro"
