"","tempMin","tempMax","tempMean","tempCV","precMin","precMax","precAnn","precCV","aetMin","aetMax","aetAnn","aetCV","petMin","petMax","petAnn","petCV","ro_mean","npp_mn","npp_sd","npp_cv","SolRad_mn","SolRad_cv"
"Juruena1",13.9707321399,32.8692232653,24.195265605,0.765159477025,6.94582113945,347.823647904,1997.29753082,72.5458680146,55.4886612697,159.612671506,1310.4129261534,0.351418086642049,128.904146555,175.614337476,1826.260854143,0.101364784759123,965.768150731985,1693.50686007,522.357161403,30.8447030076636,14.520561906,0.568993561812924
"Jutai",19.9171812461,31.401594451,25.6698232144,0.342280086811,103.547326404,317.513496123,2671.60823618,32.9456774236,115.488368796,146.953540619,1594.17391731,0.087488255529374,117.021430207,155.606785687,1666.878267698,0.0818037557933233,2182.82679287575,2618.6981427,131.379383602,5.01697318449013,14.7385830856,0.105722915810843
"Luna",21.7414717213,32.4967971265,26.8291571288,0.392106750042,76.2224889733,308.80083003,2392.059349,40.8947574116,103.7585655,136.243295554,1459.226639124,0.0877156486827587,119.202873467,151.410362347,1627.961625072,0.0772278847836144,1493.9461227279,2756.54342272,154.699065844,5.61206707534292,14.7440087361,0.0706185912255104
"Madera1",21.6498302908,32.7522062196,26.9642418127,0.398162462159,82.505091276,278.440693514,2216.04293184,39.6108613889,103.350610036,134.945234382,1437.306852581,0.0893680931097838,121.59196404,153.072011742,1637.065773781,0.0803551768364381,1484.22017574145,2682.14761069,145.607006853,5.4287469590662,14.7468773097,0.0493082943693245
"Madera2",20.0145970866,32.8865349992,26.3995089748,0.414360576136,44.9069234546,357.245021551,2568.21790605,50.8371160456,92.9847782203,147.544410497,1460.2543510297,0.149747075365004,122.302171422,157.99637187,1685.130285339,0.0861744734225504,1854.1952214224,2905.17389741,106.457670543,3.66441646188231,14.7060773226,0.122162866302159
"Madera3",19.7427035194,33.2482180946,26.3668681123,0.44520267508,36.3162993246,343.376821898,2416.63148774,54.0927390686,84.8744667615,149.61420192,1428.565810524,0.183890950604503,122.185389264,160.10184856,1708.212495558,0.088705239780855,1564.9364404665,2771.68783179,181.352751223,6.54304388621858,14.6925367138,0.104667424673208
"Madera4",18.7518285372,33.1073201439,25.9691906475,0.576152398082,22.6719724221,298.900329736,1976.95041966,59.8956834532,68.9983213429,153.662440048,1339.3006894488,0.26802367943213,124.914508393,162.450089928,1736.49079736,0.0965690380641816,921.303901169,1951.36465942,204.155984138,10.4622159242487,14.615425602,0.164623397592387
"Madera6",19.0271782574,33.7814708233,26.3121822542,0.625876578737,13.3963229416,265.156514788,1650.2745004,63.2131095124,59.1960031974,152.58705036,1259.2423661072,0.31082537086061,121.898321343,167.306954436,1756.351718625,0.109544102537791,652.27239191581,1707.40544473,58.2166720055,3.40965716052909,14.5896239906,0.0677957746340331
"Madre_Dios",14.2810154139,30.0097232751,22.6929655762,0.983830699555,70.8253088939,344.642162484,2338.03388601,52.4329633733,85.4621843839,146.554486494,1399.5041822978,0.183160911596546,106.887061766,159.980303354,1645.676638094,0.128704041224356,1663.03638870285,2827.19392757,1068.8051762,37.8044521734895,14.4890012368,0.296595299458964
"Mamore1",18.1459354437,34.1847718899,26.170546401,0.727887163884,15.5876422824,260.748813168,1601.31215059,63.7370089998,61.3303700717,150.755576736,1255.8216544154,0.316975261831713,122.488956504,176.470737027,1801.515992448,0.128079093212054,573.11745207032,1450.05169543,320.92283233,22.1318200820994,14.5255477796,0.255564762964982
"Mamore2",16.3274427345,33.4747374923,25.6563888925,1.46333714008,41.240390049,300.483526737,1826.512649,58.0857240482,80.1313655658,157.140998515,1350.8760989833,0.251963714111358,110.192001892,177.449463157,1764.799482211,0.160352878917576,622.1864915688,1393.98500198,580.130568271,41.6167008573973,14.3876906426,0.387679367197044
"Mantaro",-2.94082126774,15.9468427679,7.65703113651,0.902525398286,10.721659968,147.033073459,857.668006392,67.3823059416,42.1321243523,84.8272480752,705.315626362,0.244322095429859,79.2968379255,113.527335238,1174.5751053212,0.120940506917336,173.57438404286,1392.34034563,703.39935559,50.5192108953597,14.5053152967,0.219503353648877
