"","tempMin","tempMax","tempMean","precMin","precMax","precAnn"
"Tapaua",15.4380887636,28.6020885884667,22.4929524196667,112.071098142967,320.951575595333,2628.29439618333
"Tefe",16.7879215244667,28.6026345536667,22.8582023482333,130.043717047433,366.485193012333,2693.22714825667
"Teles_Pires",11.0972485245,30.0987674442,20.9867020374,7.31485904648667,391.663739917667,2439.57726237
"Tigre",15.5558460588333,28.7725783979667,22.2791151189,126.968770139667,356.251060016,2592.16366322
"Trombetas1",16.1641675957,28.336117965,22.4053701241333,66.5275294787667,431.739146627667,2532.91703752667
"Uatuma1",17.7009630698667,29.5094072517333,23.4702414985,90.8688810515667,357.189385255667,2385.67190502667
"Uaupes",16.8876586854667,29.5538154355333,22.5377044203333,93.6200552618667,524.462356459667,3082.77986935
"Ucayali1",15.3234861564,29.5889762772333,22.7914252829333,107.273355073867,291.436408977667,2318.20365752
"Ucayali2",8.64725395746667,24.2990330811667,16.9843791152333,76.4063087957,237.913361164667,1864.34259177667
"Unini",17.2943256611,29.7542334886333,23.3148817655333,105.101941435667,410.956783031,2685.37541288667
"Urubamba",5.28737923825333,23.0250084268333,14.8181439095,56.7899892348333,214.197597061,1580.00452633667
"Xingu1",16.2156503592,28.1004011409,21.8845142656333,63.7160301335333,446.011251259667,2370.66905137
"Xingu3",13.3395535731333,27.8672522913,20.7231691966667,25.2672498047333,320.923790143667,2105.85584352667
"Xingu4",12.0967873240333,30.5295474386333,21.5156729454667,6.31938676118333,392.022583398667,2292.88603359
"Xingu6",10.04534065,30.2939648218,20.9948566057333,2.99254854536667,342.322227317667,2003.50545628667
"Yacuma",13.0545571658667,28.5280837359333,21.6122061191667,73.8267310789333,276.367471819667,2016.22512077333
